strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,classification,expected_by_0point5_cad,ct_material_occupancy,mean_intensity,length_um,trimmed_length_um,longest_gap_um,estimated_missing_volume_mm3,nominal_sampled_volume_mm3,centroid_x_um,centroid_y_um,centroid_z_um,aspect_ratio,sphericity,voxel_size_um
10,5,12,2,8,0,"0,0,0",Missing_Intentional,True,0.000774293439462781,32688.0703125,3237.4385502243044,1942.4632568359375,2035.441543956757,0.7407497763633728,0.7413237690925598,4709.223768005371,3102.4501665496828,4978.955450439454,2.919954013824463,0.7583384787993913,58.09
214,123,120,8,4,8,"8,0,0",Expected_Missing_But_Material_Present,True,0.042198993265628815,32528.291015625,3237.4374422454835,1942.462646484375,1744.6641805343631,0.7100404500961304,0.7413235902786255,43440.672766723634,5119.986972198487,5004.923814849853,2.5028177261352544,0.8396444652996374,58.09
417,241,248,2,8,17,"8,1,0",Expected_Missing_But_Material_Present,True,0.34610918164253235,38793.6875,3241.0164354324343,1944.60986328125,969.2578780746462,0.4852805435657501,0.7421430349349976,40071.42794799805,10853.675435791016,2692.3120840072634,1.3904542922973635,1.0,58.09
946,543,540,4,4,38,"2,4,0",Missing_Intentional,True,0.018583042547106743,33629.43359375,3237.4387718200687,1942.4632568359375,1841.5899683418277,0.7275477051734924,0.7413237690925598,16233.006567382814,23586.04153289795,4931.345600509644,2.6418631553649905,0.8156228638219971,58.09
1310,752,755,8,4,53,"8,5,0",Expected_Missing_But_Material_Present,True,0.03213317692279816,33963.43359375,3225.570989074707,1935.3427734375,1841.5899683418277,0.7148725986480713,0.738606333732605,41327.134914550785,29124.097278442383,3789.442240982056,2.6418631553649905,0.8061221265743979,58.09
1666,956,962,1,8,68,"5,7,0",Expected_Missing_But_Material_Present,True,0.0379403792321682,34144.8984375,3234.1917290878296,1940.5152587890625,1744.6641805343631,0.7124824523925781,0.7405803799629211,26580.11763183594,38365.77875976563,4898.650031890869,2.5028177261352544,0.8415685248777155,58.09
1728,992,991,8,4,70,"7,7,0",Missing_Intentional,True,0.016647309064865112,34100.29296875,3225.5723186492924,1935.3433837890625,1841.5899683418277,0.7263107299804688,0.7386065721511841,39095.25428771973,35993.86733764649,3768.5032140350345,2.6418631553649905,0.8146981213863052,58.09
1772,1010,1021,2,8,72,"0,8,0",Missing_Unintentional,False,0.0,32313.03125,3237.4387718200687,1942.4632568359375,2035.441543956757,0.7413237690925598,0.7413237690925598,7268.880871734619,44209.46824707031,2572.7328049850466,2.919954013824463,0.7587301761410294,58.09
1773,1011,1021,3,8,72,"0,8,0",Missing_Unintentional,False,0.0,31189.466796875,3227.5252421188356,1936.51513671875,2035.441543956757,0.7390537858009338,0.7390537858009338,4991.453894729614,44225.185591430665,2570.831956520081,2.919954013824463,0.7571805293589084,58.09
1774,1012,1021,2,8,72,"0,8,0",Missing_Unintentional,False,0.0,32472.220703125,3237.4385502243044,1942.4632568359375,2035.441543956757,0.7413237690925598,0.7413237690925598,4982.515164794922,44226.78108093262,4864.727265930176,2.919954013824463,0.7587301761410294,58.09
