z,y,x,diameter_voxels,diameter_um_at_58_09
15,281,94,50.03998565673828,2906.8227667999267
15,388,95,49.43682861328125,2871.785374145508
15,388,96,50.15974426269531,2913.779544219971
15,701,240,49.51767349243164,2876.481653175354
15,707,259,52.49761962890625,3049.586724243164
15,708,260,50.950958251953125,2959.7411648559573
15,709,260,50.19960021972656,2916.0947767639163
15,710,260,49.51767349243164,2876.481653175354
16,84,126,50.5173225402832,2934.5512663650516
16,85,126,50.03998565673828,2906.8227667999267
16,149,742,50.15974426269531,2913.779544219971
16,152,742,51.02940368652344,2964.2980601501467
16,152,743,49.71921157836914,2888.1890005874634
16,157,742,51.61395263671875,2998.2545086669925
16,157,743,50.3189811706543,2923.0296162033083
16,157,744,49.07137680053711,2850.556278343201
16,167,744,51.068580627441406,2966.5738486480714
16,167,745,49.67897033691406,2885.851386871338
16,170,744,50.950958251953125,2959.7411648559573
16,171,745,49.51767349243164,2876.481653175354
16,175,745,49.87985610961914,2897.520841407776
16,196,93,49.030601501464844,2848.187641220093
16,196,94,50.5173225402832,2934.5512663650516
16,196,95,52.038448333740234,3022.9134637069706
16,207,98,49.43682861328125,2871.785374145508
16,207,99,50.5173225402832,2934.5512663650516
16,208,100,50.990196228027344,2962.0204988861087
16,277,747,49.638694763183594,2883.511778793335
16,352,93,49.43682861328125,2871.785374145508
16,353,94,51.41984176635742,2986.978608207703
16,353,95,52.99056625366211,3078.221993675232
16,400,749,49.51767349243164,2876.481653175354
16,420,749,49.67897033691406,2885.851386871338
16,697,242,50.0,2904.5
16,698,242,50.03998565673828,2906.8227667999267
16,699,242,50.15974426269531,2913.779544219971
16,700,240,49.112117767333984,2852.922921104431
16,700,242,49.67897033691406,2885.851386871338
16,701,255,50.07993698120117,2909.1435392379763
16,702,255,50.03998565673828,2906.8227667999267
16,703,254,50.19960021972656,2916.0947767639163
16,704,254,50.3189811706543,2923.0296162033083
16,705,254,50.15974426269531,2913.779544219971
16,720,635,50.11985778808594,2911.4625389099124
16,721,608,49.19349670410156,2857.65022354126
17,124,736,54.7357292175293,3179.598510246277
17,125,737,52.87721633911133,3071.6374971389773
17,125,738,51.61395263671875,2998.2545086669925
17,125,739,50.39841079711914,2927.643683204651
17,125,740,49.234134674072266,2860.010883216858
17,130,736,52.49761962890625,3049.586724243164
17,130,737,51.146846771240234,2971.120328941345
17,130,738,49.839744567871094,2895.190761947632
17,138,739,49.47726821899414,2874.13451084137
17,139,736,52.95280838012695,3076.0286388015747
17,139,737,52.191951751708984,3031.830477256775
17,139,738,50.990196228027344,2962.0204988861087
17,143,736,54.33230972290039,3156.1638718032837
17,143,737,52.95280838012695,3076.0286388015747
17,143,738,51.61395263671875,2998.2545086669925
17,143,739,50.3189811706543,2923.0296162033083
17,143,740,49.07137680053711,2850.556278343201
17,149,736,55.74943923950195,3238.4849254226688
17,149,737,54.55272674560547,3168.967896652222
17,149,738,53.40412139892578,3102.245412063599
17,149,739,52.23025894165039,3034.0557419204715
17,149,740,51.107730865478516,2968.8480859756473
17,149,741,50.03998565673828,2906.8227667999267
17,153,739,53.10367202758789,3084.792308082581
17,153,740,52.345008850097656,3040.721564102173
17,153,741,50.91168975830078,2957.4600580596925
17,154,738,52.95280838012695,3076.0286388015747
17,155,737,52.95280838012695,3076.0286388015747
17,157,737,52.49761962890625,3049.586724243164
17,157,738,52.306785583496094,3038.5011745452884
17,157,739,52.191951751708984,3031.830477256775
17,157,740,52.076866149902344,3025.1451546478274
17,157,741,51.53639602661133,2993.749245185852
17,167,742,52.64978790283203,3058.426179275513
17,167,743,51.146846771240234,2971.120328941345
17,169,742,52.64978790283203,3058.426179275513
17,169,743,51.146846771240234,2971.120328941345
17,176,744,50.15974426269531,2913.779544219971
17,195,96,50.3189811706543,2923.0296162033083
17,353,96,53.1789436340332,3089.164835700989
17,353,97,52.535701751708984,3051.798914756775
