strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,classification,expected_by_0point5_cad,ct_material_occupancy,mean_intensity,length_um,trimmed_length_um,longest_gap_um,estimated_missing_volume_mm3,nominal_sampled_volume_mm3,centroid_x_um,centroid_y_um,centroid_z_um,aspect_ratio,sphericity,voxel_size_um,excess_voxels,excess_fraction_of_mask,excess_mean_distance_to_centerline_mask_voxels,excess_rms_distance_to_centerline_mask_voxels,excess_distance_um
192,112,121,3,8,8,"8,0,0",Nominal,False,1.0,52284.59765625,3244.0729058074958,1946.44384765625,0.0,0.0,0.742842972278595,41301.80208679199,3985.777860794068,1565.352921218872,0.0,5.430654988463878e-06,58.09,430,0.0014269690513642487,4.594927831894362,4.6177296465360245,533.838715509487
144,84,93,3,8,6,"6,0,0",Nominal,False,1.0,53013.3046875,3244.070689849854,1946.4425048828125,0.0,0.0,0.742842435836792,32126.30151000977,4032.4348489379886,1557.7495273590089,0.0,5.430654988463878e-06,58.09,422,0.0014004207899435187,4.562686785040103,4.582404271564705,530.0929506859593
168,98,107,3,8,7,"7,0,0",Nominal,False,1.0,53152.80078125,3244.0709114456176,1946.442626953125,0.0,0.0,0.7428424954414368,36714.050025634766,4009.106576461792,1561.5512242889406,0.0,5.430654988463878e-06,58.09,418,0.0013871466592331534,4.626708487208695,4.646212260785905,537.5309920439063
120,70,79,3,8,5,"5,0,0",Nominal,False,1.0,52696.45703125,3244.070468254089,1946.4425048828125,0.0,0.0,0.742842435836792,27538.55476715088,4055.7631214141848,1553.9478304290772,0.0,5.430654988463878e-06,58.09,414,0.0013738725285227884,4.48183482232178,4.500920385796762,520.6995696573443
121,71,79,2,8,5,"5,0,0",Nominal,False,1.0,52666.72265625,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,29832.427252197267,4044.0987635803226,1555.8486788940431,0.0,5.430654988463878e-06,58.09,413,0.0013705539958451972,4.607935359932606,4.625625788125216,535.3499301169702
1027,591,597,2,8,42,"6,4,0",Nominal,False,1.0,48373.37109375,3244.0717978286743,1946.443115234375,0.0,0.0,0.7428426742553711,32231.327265625,24677.23403137207,1500.63543510437,0.0,5.430654988463878e-06,58.09,411,0.0013639169304900146,4.439564258873629,4.4507546446291455,515.7885755959383
97,57,65,2,8,4,"4,0,0",Nominal,False,1.0,52478.984375,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,25244.68050933838,4067.427479248047,1552.0469819641114,0.0,5.430654988463878e-06,58.09,410,0.0013605983978124232,4.578537966141847,4.59542283489382,531.9345409063599
388,224,233,3,8,16,"7,1,0",Nominal,False,1.0,51398.625,3244.070689849854,1946.4425048828125,0.0,0.0,0.742842435836792,36737.39380981446,8596.839580383301,1548.8591053009034,0.0,5.430654988463878e-06,58.09,410,0.0013605983978124232,4.547718458784957,4.564784595043109,528.3539305416364
412,238,247,3,8,17,"8,1,0",Nominal,False,1.0,52730.2265625,3244.070689849854,1946.4425048828125,0.0,0.0,0.742842435836792,41325.142325439454,8573.510864715578,1552.660802230835,0.0,5.430654988463878e-06,58.09,410,0.0013605983978124232,4.4829300278133895,4.501901496241368,520.8268106313596
123,73,79,2,8,5,"5,0,0",Nominal,False,1.0,51256.96875,3244.0709114456176,1946.442626953125,0.0,0.0,0.7428424954414368,27550.22488647461,6349.629844970704,1547.6017709350588,0.0,5.430654988463878e-06,58.09,409,0.001357279865134832,4.5330023009179925,4.549899477009467,526.6442073206524
17562,9777,9784,3,8,698,"5,5,8",Missing_Intentional,True,0.02245450951159,34783.671875,3244.0715762329105,1946.443115234375,1751.798531504059,0.7261624932289124,0.7428426742553711,27616.714252319336,25958.717017211915,41636.83006347656,2.513052349090576,0.8494116344065935,58.09,6,1.9911196065547657e-05,4.610232487361347,4.621390484669921,535.6168103816412
12488,7028,7038,3,8,502,"7,1,6",Missing_Intentional,True,0.0104529615491628,32096.92578125,3244.072241020203,1946.443359375,1849.120672143173,0.7350777983665466,0.7428427338600159,35567.09871459961,8682.116721496583,30221.6025970459,2.6526663684844967,0.8184268400060398,58.09,2,6.637065355182553e-06,4.079363455075013,4.081016537303899,473.94044621061505
