strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,classification,expected_by_0point5_cad,ct_material_occupancy,mean_intensity,length_um,trimmed_length_um,longest_gap_um,estimated_missing_volume_mm3,nominal_sampled_volume_mm3,centroid_x_um,centroid_y_um,centroid_z_um,aspect_ratio,sphericity,voxel_size_um,excess_voxels,excess_fraction_of_mask,excess_mean_distance_to_centerline_mask_voxels,excess_rms_distance_to_centerline_mask_voxels,excess_distance_um,heuristic_pattern
51,31,37,2,8,2,"2,0,0",Nominal,False,1.0,50676.00390625,3244.0709114456176,1946.442626953125,0.0,0.0,0.7428424954414368,13786.97668045044,6419.61510559082,1536.1967909431455,0.0,5.430654988463878e-06,58.09,404,0.0013406872017468756,4.470201016918763,4.4847840017460765,519.3479541456219,boundary_or_registration_artifact_like
75,45,51,2,8,3,"3,0,0",Nominal,False,1.0,50967.3515625,3244.072462615967,1946.443603515625,0.0,0.0,0.7428428530693054,18374.726082458496,6396.286833114625,1539.998377075195,0.0,5.430654988463878e-06,58.09,403,0.0013373686690692844,4.524606494876282,4.538694087451776,525.6687825747264,boundary_or_registration_artifact_like
96,56,65,3,8,4,"4,0,0",Nominal,False,1.0,51976.2421875,3244.0717978286743,1946.443115234375,0.0,0.0,0.7428426742553711,22950.80447875977,4079.0918370819095,1550.1461334991457,0.0,5.430654988463878e-06,58.09,403,0.0013373686690692844,4.6017208457536105,4.617094562510157,534.6279278596545,boundary_or_registration_artifact_like
97,57,65,2,8,4,"4,0,0",Nominal,False,1.0,52478.984375,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,25244.68050933838,4067.427479248047,1552.0469819641114,0.0,5.430654988463878e-06,58.09,410,0.0013605983978124232,4.578537966141847,4.59542283489382,531.9345409063599,boundary_or_registration_artifact_like
99,59,65,2,8,4,"4,0,0",Nominal,False,1.0,51088.4921875,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,22962.474598083496,6372.958560638428,1543.800074005127,0.0,5.430654988463878e-06,58.09,404,0.0013406872017468756,4.589462653381601,4.602731396397402,533.2037710698745,boundary_or_registration_artifact_like
120,70,79,3,8,5,"5,0,0",Nominal,False,1.0,52696.45703125,3244.070468254089,1946.4425048828125,0.0,0.0,0.742842435836792,27538.55476715088,4055.7631214141848,1553.9478304290772,0.0,5.430654988463878e-06,58.09,414,0.0013738725285227884,4.48183482232178,4.500920385796762,520.6995696573443,boundary_or_registration_artifact_like
121,71,79,2,8,5,"5,0,0",Nominal,False,1.0,52666.72265625,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,29832.427252197267,4044.0987635803226,1555.8486788940431,0.0,5.430654988463878e-06,58.09,413,0.0013705539958451972,4.607935359932606,4.625625788125216,535.3499301169702,boundary_or_registration_artifact_like
122,72,79,1,8,5,"5,0,0",Nominal,False,1.0,51616.9765625,3244.0729058074958,1946.44384765625,0.0,0.0,0.742842972278595,29844.099144287116,6337.965043945313,1549.5026194000243,0.0,5.430654988463878e-06,58.09,403,0.0013373686690692844,4.585232959786333,4.600687367800712,532.7123652679761,boundary_or_registration_artifact_like
123,73,79,2,8,5,"5,0,0",Nominal,False,1.0,51256.96875,3244.0709114456176,1946.442626953125,0.0,0.0,0.7428424954414368,27550.22488647461,6349.629844970704,1547.6017709350588,0.0,5.430654988463878e-06,58.09,409,0.001357279865134832,4.5330023009179925,4.549899477009467,526.6442073206524,boundary_or_registration_artifact_like
144,84,93,3,8,6,"6,0,0",Nominal,False,1.0,53013.3046875,3244.070689849854,1946.4425048828125,0.0,0.0,0.742842435836792,32126.30151000977,4032.4348489379886,1557.7495273590089,0.0,5.430654988463878e-06,58.09,422,0.0014004207899435187,4.562686785040103,4.582404271564705,530.0929506859593,boundary_or_registration_artifact_like
145,85,93,2,8,6,"6,0,0",Nominal,False,1.0,52668.44921875,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,34420.17576782227,4020.770491104126,1559.6503758239746,0.0,5.430654988463878e-06,58.09,407,0.0013506427997796494,4.520173560718814,4.541741028787771,525.1537642843118,boundary_or_registration_artifact_like
147,87,93,2,8,6,"6,0,0",Nominal,False,1.0,51480.0546875,3244.0691386795047,1946.4415283203125,0.0,0.0,0.7428420186042786,32137.97340209961,6326.301129302979,1551.4034678649905,0.0,5.430654988463878e-06,58.09,404,0.0013406872017468756,4.471935489427888,4.49007515347125,519.5494651617321,boundary_or_registration_artifact_like
168,98,107,3,8,7,"7,0,0",Nominal,False,1.0,53152.80078125,3244.0709114456176,1946.442626953125,0.0,0.0,0.7428424954414368,36714.050025634766,4009.106576461792,1561.5512242889406,0.0,5.430654988463878e-06,58.09,418,0.0013871466592331534,4.626708487208695,4.646212260785905,537.5309920439063,boundary_or_registration_artifact_like
169,99,107,2,8,7,"7,0,0",Nominal,False,1.0,52220.8125,3244.072241020203,1946.443359375,0.0,0.0,0.7428427338600159,39007.92428344727,3997.44221862793,1563.4520727539064,0.0,5.430654988463878e-06,58.09,406,0.0013473242671020581,4.585545557679581,4.607229375937781,532.7486828912138,boundary_or_registration_artifact_like
170,100,107,1,8,7,"7,0,0",Nominal,False,1.0,52577.5546875,3244.0729058074958,1946.44384765625,0.0,0.0,0.742842972278595,39019.59617553711,6291.30849899292,1557.1060132598875,0.0,5.430654988463878e-06,58.09,405,0.0013440057344244669,4.587406359630348,4.606286788787313,532.9648708618539,boundary_or_registration_artifact_like
171,101,107,2,8,7,"7,0,0",Nominal,False,1.0,51782.40625,3244.069581871033,1946.4417724609373,0.0,0.0,0.7428421974182129,36725.72191772461,6302.973300018311,1555.205164794922,0.0,5.430654988463878e-06,58.09,403,0.0013373686690692844,4.596327863069822,4.613989298693431,534.001371131452,boundary_or_registration_artifact_like
192,112,121,3,8,8,"8,0,0",Nominal,False,1.0,52284.59765625,3244.0729058074958,1946.44384765625,0.0,0.0,0.742842972278595,41301.80208679199,3985.777860794068,1565.352921218872,0.0,5.430654988463878e-06,58.09,430,0.0014269690513642487,4.594927831894362,4.6177296465360245,533.838715509487,boundary_or_registration_artifact_like
